aargang;geografi;geografi.1;kjoenn;aldersgrupper;sysselsatte;andeler;befolkning
2024;707;Vinderen;Begge kjønn;40-49 år;581;87.8;662
2024;707;Vinderen;Begge kjønn;50-59 år;595;85.9;693
2024;707;Vinderen;Begge kjønn;60 -74 år;411;53.3;771
2024;801;Disen;Begge kjønn;15-24 år;256;43.1;594
2024;801;Disen;Begge kjønn;25-39 år;818;86.8;942
2024;801;Disen;Begge kjønn;40-49 år;622;89.8;693
2024;801;Disen;Begge kjønn;50-59 år;638;88.2;723
2024;801;Disen;Begge kjønn;60 -74 år;358;52.8;678
2024;802;Myrer;Begge kjønn;15-24 år;309;42.6;726
2024;802;Myrer;Begge kjønn;25-39 år;910;82.1;1108
2024;802;Myrer;Begge kjønn;40-49 år;750;89.8;835
2024;802;Myrer;Begge kjønn;50-59 år;718;86.1;834
2024;802;Myrer;Begge kjønn;60 -74 år;449;49.4;909
2024;803;Grefsen;Begge kjønn;15-24 år;447;49.4;904
2024;803;Grefsen;Begge kjønn;25-39 år;1201;83.4;1440
2024;803;Grefsen;Begge kjønn;40-49 år;920;86.8;1060
2024;803;Grefsen;Begge kjønn;50-59 år;880;85.4;1030
2024;803;Grefsen;Begge kjønn;60 -74 år;415;46.0;902
2024;804;Kjelsås;Begge kjønn;15-24 år;336;48.5;693
2024;804;Kjelsås;Begge kjønn;25-39 år;1294;84.7;1528
2024;804;Kjelsås;Begge kjønn;40-49 år;812;91.1;891
2024;804;Kjelsås;Begge kjønn;50-59 år;692;89.6;772
2024;804;Kjelsås;Begge kjønn;60 -74 år;431;53.3;809
2024;805;Korsvoll;Begge kjønn;15-24 år;292;38.5;758
2024;805;Korsvoll;Begge kjønn;25-39 år;848;81.0;1047
2024;805;Korsvoll;Begge kjønn;40-49 år;725;87.8;826
2024;805;Korsvoll;Begge kjønn;50-59 år;676;88.7;762
2024;805;Korsvoll;Begge kjønn;60 -74 år;468;57.8;809
2024;806;Tåsen;Begge kjønn;15-24 år;672;54.6;1231
2024;806;Tåsen;Begge kjønn;25-39 år;2047;83.9;2441
2024;806;Tåsen;Begge kjønn;40-49 år;961;86.2;1115
2024;806;Tåsen;Begge kjønn;50-59 år;737;84.1;876
2024;806;Tåsen;Begge kjønn;60 -74 år;416;51.2;813
2024;807;Nordberg;Begge kjønn;15-24 år;906;42.7;2124
2024;807;Nordberg;Begge kjønn;25-39 år;1748;67.1;2604
2024;807;Nordberg;Begge kjønn;40-49 år;820;86.0;953
2024;807;Nordberg;Begge kjønn;50-59 år;767;89.0;862
2024;807;Nordberg;Begge kjønn;60 -74 år;500;51.5;970
2024;808;Ullevål hageby;Begge kjønn;15-24 år;508;45.8;1110
2024;808;Ullevål hageby;Begge kjønn;25-39 år;934;75.6;1235
2024;808;Ullevål hageby;Begge kjønn;40-49 år;803;86.2;932
2024;808;Ullevål hageby;Begge kjønn;50-59 år;930;89.3;1041
2024;808;Ullevål hageby;Begge kjønn;60 -74 år;553;58.0;954
